Entity Name,Status,Module,Priority,Key Fields,FK Relationships,Implementation Notes
ArchivedProject,MISSING,M8,MEDIUM,"project_id, archived_at, archived_by, data_tier, is_read_only","project_id, archived_by → Users","Archive metadata"
ArchiveJob,MISSING,M8,LOW,"job_id, project_id, status, started_at, completed_at","project_id","Archive processing"
ArchivePolicy,MISSING,M8,LOW,"policy_id, workspace_id, retention_days, auto_delete","workspace_id","Archiving rules"
DataExportRequest,MISSING,M8,MEDIUM,"export_id, user_id, entity_type, status, requested_at","user_id","Data export tracking"
DataExportFile,MISSING,M8,MEDIUM,"file_id, export_id, filename, size, created_at","export_id","Export files"
TrashItem,MISSING,M8,MEDIUM,"trash_id, original_type, original_id, deleted_by, deleted_at, can_restore","deleted_by → Users","Soft delete tracking"
RetentionPolicy,MISSING,M8,LOW,"policy_id, workspace_id, entity_type, retention_days","workspace_id","Data retention"
MLModel,MISSING,M10,LOW,"model_id, name, version, status, accuracy_score, created_at","","AI model tracking"
ModelVersion,MISSING,M10,LOW,"version_id, model_id, version_number, metrics (jsonb), deployed_at","model_id","Model versions"
ModelMetric,MISSING,M10,LOW,"metric_id, model_id, metric_name, value, measured_at","model_id","Model metrics"
InferenceRequest,MISSING,M10,MEDIUM,"request_id, model_id, input_data (jsonb), status, created_at","model_id","AI request tracking"
InferenceResult,MISSING,M10,MEDIUM,"result_id, request_id, output_data (jsonb), confidence_score, created_at","request_id","AI results"
RiskSignal,MISSING,M10,MEDIUM,"signal_id, project_id, risk_type, severity, description, created_at","project_id","Risk detection"
ReportDefinition,MISSING,M11,MEDIUM,"report_id, workspace_id, name, query (jsonb), schedule, created_by","workspace_id, created_by → Users","Report templates"
ReportExecution,MISSING,M11,LOW,"execution_id, report_id, status, executed_at, result_file_id","report_id","Report execution"
ReportPermission,MISSING,M11,LOW,"permission_id, report_id, user_id, access_level","report_id, user_id","Report access control"
MetricSnapshot,MISSING,M11,LOW,"snapshot_id, project_id, metric_data (jsonb), captured_at","project_id","Metric snapshots"
SprintMetric,MISSING,M11,LOW,"metric_id, sprint_id, metric_name, value","sprint_id","Sprint metrics"
ResourceUtilization,MISSING,M11,MEDIUM,"utilization_id, user_id, period_start, period_end, utilization_percentage","user_id","Resource tracking"
KPI,MISSING,M11,MEDIUM,"kpi_id, project_id, name, target_value, current_value, updated_at","project_id","Key performance indicators"
Plan,MISSING,M13,MEDIUM,"plan_id, name, price, features (jsonb), currency","","Subscription plans"
Subscription,MISSING,M13,MEDIUM,"subscription_id, workspace_id, plan_id, status, started_at, expires_at","workspace_id, plan_id","Subscription management"
SubscriptionUsage,MISSING,M13,LOW,"usage_id, subscription_id, metric_name, value, period","subscription_id","Usage tracking"
Invoice,MISSING,M13,MEDIUM,"invoice_id, subscription_id, amount, status, issued_at, due_at","subscription_id","Invoicing"
InvoiceLineItem,MISSING,M13,LOW,"line_id, invoice_id, description, amount, quantity","invoice_id","Invoice items"
BillingTransaction,MISSING,M13,LOW,"transaction_id, invoice_id, amount, status, processed_at","invoice_id","Payment tracking"
SystemConfig,MISSING,M14,LOW,"config_id, config_key, config_value, updated_by, updated_at","updated_by","System configuration"
AdminUser,MISSING,M14,LOW,"admin_id, user_id, privileges (jsonb)","user_id","Admin designation"
AdminRole,MISSING,M14,LOW,"role_id, name, permissions (jsonb)","","Admin roles"
AdminPermission,MISSING,M14,LOW,"permission_id, name, description","","Admin permissions"
AdminRolePermission,MISSING,M14,LOW,"role_id, permission_id","role_id, permission_id","Admin role-permission"
AdminUserRole,MISSING,M14,LOW,"user_id, role_id, assigned_at","user_id, role_id","User admin roles"
AdminAuditLog,MISSING,M14,LOW,"log_id, admin_id, action, target, created_at","admin_id","Admin action log"
FeatureFlag,MISSING,M14,MEDIUM,"flag_key, description, enabled, rollout_percentage, updated_by","updated_by","Feature control"
Roles,MISSING,M14,MEDIUM,"role_id, name, description, permissions (jsonb)","","Role definitions"
Permissions,MISSING,M14,LOW,"permission_id, name, description, resource","","Permission definitions"
RolePermission,MISSING,M14,LOW,"role_id, permission_id","role_id, permission_id","Role-permission mapping"
Article,MISSING,M15,MEDIUM,"article_id, slug, status, visibility, created_by, created_at","created_by → Users","Knowledge base articles"
ArticleTag,MISSING,M15,MEDIUM,"article_id, tag_id","article_id, tag_id","Article tagging"
ArticleVersion,MISSING,M15,LOW,"version_id, article_id, content, created_at","article_id","Article history"
ArticleTranslation,MISSING,M15,LOW,"translation_id, article_id, language, title, content","article_id","Multi-language support"
ArticleFeedback,MISSING,M15,LOW,"feedback_id, article_id, user_id, rating, comment, created_at","article_id, user_id","User feedback"
ArticleVisibility,MISSING,M15,LOW,"visibility_id, article_id, role, access_level","article_id","Access control"
Category,MISSING,M15,MEDIUM,"category_id, name, description, parent_category_id","parent_category_id (self-ref)","Content categorization"
OnboardingChecklist,MISSING,M16,MEDIUM,"checklist_id, persona_role, reward_id","reward_id","Onboarding tasks"
ChecklistItem,MISSING,M16,LOW,"item_id, checklist_id, description, completion_condition, order_no","checklist_id","Checklist items"
OnboardingFlow,MISSING,M16,LOW,"flow_id, persona_role, steps (jsonb), created_at","","Onboarding steps"
OnboardingReward,MISSING,M16,LOW,"reward_id, checklist_id, reward_type, reward_config (jsonb)","checklist_id","Onboarding rewards"
UserOnboardingStatus,MISSING,M16,MEDIUM,"status_id, user_id, checklist_id, completed_at","user_id, checklist_id","User progress"
FeatureBeacon,MISSING,M16,LOW,"beacon_id, feature_name, target_users (jsonb), displayed_at","","Feature highlights"
ProductTour,MISSING,M16,LOW,"tour_id, name, steps (jsonb), created_at","","Guided tours"
TourStep,MISSING,M16,LOW,"step_id, tour_id, sequence, content, target_element","tour_id","Tour steps"
